# T1a Universe - SP500 Tickers Jan 2020 to May 2026 - DEC-477 canonical PIT-correct universe file (Pass 53 SCRAPE-COMPLETE; renamed from historical_membership.csv per Pass 53 owner directive 2026-05-05)
# Built 2026-05-05 from Wikipedia List_of_S&P_500_companies. 124 events 2020-01-01 to 2026-04-09 + Table 0 current 503 components.
# FILENAME DATE-RANGE NOTE: "Jan 2020 to May 2026" reflects file content as of 2026-05-05. On next monthly refresh (or significant S&P event addition), rename to extend the range (e.g., "Jan 2020 to Jun 2026") to keep filename accurate.
# L88 fallback exception conditions met: (i) laptop-local, (ii) Wikipedia fallback after S&P DJI primary attempt, (iii) owner spot-checked 4 of 4 high-impact events vs S&P DJI press releases (TSLA 2020-12-21, KVUE 2023-08-25, SNDK 2025-11-28, PAYC 2026-03-23 - all confirmed), (iv) pre-Sprint-1 static CSV assembly (not runtime).
# SCHEMA: Symbol, Company, Sector (GICS post-2018 reclassification per Wikipedia Table 0; historical-only tickers have blank Sector pending supplementary lookup), added_date, removed_date.
# PIT FILTER: (added_date IS NULL OR added_date <= as_of) AND (removed_date IS NULL OR removed_date > as_of). Multi-period rows handled via standard OR semantics.
# NULL semantics: added_date NULL = in S&P prior to 2020-01-01 mapping window (Pass 53 option-beta); removed_date NULL = currently active.
# Source: en.wikipedia.org/wiki/List_of_S%26P_500_companies (one-time L88 exception; not runtime).
Symbol,Company,Sector,added_date,removed_date
NWSA,News Corp (Class A),Communication Services,,
NXPI,NXP Semiconductors,Information Technology,2021-03-22,
O,Realty Income,Real Estate,,
ODFL,Old Dominion,Industrials,,
OGN,,Health Care,2021-06-03,2023-10-18
OKE,Oneok,Energy,,
OMC,Omnicom Group,Communication Services,,
ON,ON Semiconductor,Information Technology,2022-06-21,
ORCL,Oracle Corporation,Information Technology,,
ORLY,O’Reilly Automotive,Consumer Discretionary,,
OTIS,Otis Worldwide,Industrials,2020-04-03,
OXY,Occidental Petroleum,Energy,,
PANW,Palo Alto Networks,Information Technology,2023-06-20,
PAYC,,Information Technology,2020-01-28,2026-03-23
PAYX,Paychex,Industrials,,
PBCT,,,,2022-04-04
PCAR,Paccar,Industrials,,
PCG,PG&E Corporation,Utilities,2022-10-03,
PEG,Public Service Enterprise Group,Utilities,,
PENN,,Consumer Discretionary,2021-03-22,2022-09-19
PEP,PepsiCo,Consumer Staples,,
PFE,Pfizer,Health Care,,
PFG,Principal Financial Group,Financials,,
PG,Procter & Gamble,Consumer Staples,,
PGR,Progressive Corporation,Financials,,
PH,Parker Hannifin,Industrials,,
PHM,PulteGroup,Consumer Discretionary,,
PKG,Packaging Corporation of America,Materials,,
PLD,Prologis,Real Estate,,
PLTR,Palantir Technologies,Information Technology,2024-09-23,
PM,Philip Morris International,Consumer Staples,,
PNC,PNC Financial Services,Financials,,
PNR,Pentair,Industrials,,
PNW,Pinnacle West Capital,Utilities,,
PODD,Insulet Corporation,Health Care,2023-03-15,
POOL,Pool Corporation,Consumer Discretionary,2020-10-07,
PPG,PPG Industries,Materials,,
PPL,PPL Corporation,Utilities,,
PRGO,,Health Care,,2021-09-20
PRU,Prudential Financial,Financials,,
PSA,Public Storage,Real Estate,,
PSKY,Paramount Skydance Corporation,Communication Services,,
PSX,Phillips 66,Energy,,
PTC,PTC Inc.,Information Technology,2021-04-20,
PVH,,,,2022-09-19
PWR,Quanta Services,Industrials,,
PXD,,,,2024-05-08
PYPL,PayPal,Financials,,
Q,Qnity Electronics,Information Technology,2025-11-03,
QCOM,Qualcomm,Information Technology,,
QRVO,,Information Technology,,2024-12-23
RCL,Royal Caribbean Group,Consumer Discretionary,,
REG,Regency Centers,Real Estate,,
REGN,Regeneron Pharmaceuticals,Health Care,,
RF,Regions Financial Corporation,Financials,,
RHI,,,,2024-06-24
RJF,Raymond James Financial,Financials,,
RL,Ralph Lauren Corporation,Consumer Discretionary,,
RMD,ResMed,Health Care,,
ROK,Rockwell Automation,Industrials,,
ROL,"Rollins, Inc.",Industrials,,
ROP,Roper Technologies,Information Technology,,
ROST,Ross Stores,Consumer Discretionary,,
RSG,Republic Services,Industrials,,
RTN,,,,2020-04-06
RTX,RTX Corporation,Industrials,,
RVTY,Revvity,Health Care,,
SATS,EchoStar,Communication Services,2026-03-23,
SBAC,SBA Communications,Real Estate,,
SBNY,,,2021-12-20,2023-03-15
SBUX,Starbucks,Consumer Discretionary,,
SCHW,Charles Schwab Corporation,Financials,,
SEDG,,Information Technology,2021-12-20,2023-12-18
SEE,,,,2023-12-18
SHW,Sherwin-Williams,Materials,,
SIVB,,,,2023-03-15
SJM,J.M. Smucker Company (The),Consumer Staples,,
SLB,Schlumberger,Energy,,
SLG,,Financials,,2021-03-22
SMCI,Supermicro,Information Technology,2024-03-18,
SNA,Snap-on,Industrials,,
SNDK,Sandisk,Information Technology,2025-11-28,
SNPS,Synopsys,Information Technology,,
SO,Southern Company,Utilities,,
SOLS,,Materials,2025-10-30,2025-12-22
SOLV,Solventum,Health Care,2024-04-01,
SPG,Simon Property Group,Real Estate,,
SPGI,S&P Global,Financials,,
SRE,Sempra,Utilities,,
STE,Steris,Health Care,,
STLD,Steel Dynamics,Materials,2022-12-22,
STT,State Street Corporation,Financials,,
STX,Seagate Technology,Information Technology,,
STZ,Constellation Brands,Consumer Staples,,
SW,Smurfit Westrock,Materials,,
SWK,Stanley Black & Decker,Industrials,,
SWKS,Skyworks Solutions,Information Technology,,
SYF,Synchrony Financial,Financials,,
SYK,Stryker Corporation,Health Care,,
SYY,Sysco,Consumer Staples,,
T,AT&T,Communication Services,,
TAP,Molson Coors Beverage Company,Consumer Staples,,
TDG,TransDigm Group,Industrials,,
TDY,Teledyne Technologies,Information Technology,2020-06-22,
TECH,Bio-Techne,Health Care,2021-08-30,
TEL,TE Connectivity,Information Technology,,
TER,Teradyne,Information Technology,2020-09-21,
TFC,Truist Financial,Financials,,
TFX,,Health Care,,2025-03-24
TGT,Target Corporation,Consumer Staples,,
TIF,,,,2021-01-07
TJX,TJX Companies,Consumer Discretionary,,
TKO,TKO Group Holdings,Communication Services,2025-03-24,
TMO,Thermo Fisher Scientific,Health Care,,
TMUS,T-Mobile US,Communication Services,,
TPL,Texas Pacific Land Corporation,Energy,2024-11-26,
TPR,"Tapestry, Inc.",Consumer Discretionary,,
TRGP,Targa Resources,Energy,2022-10-12,
TRMB,Trimble Inc.,Information Technology,2021-01-21,
TROW,T. Rowe Price,Financials,,
TRV,Travelers Companies (The),Financials,,
TSCO,Tractor Supply,Consumer Discretionary,,
TSLA,"Tesla, Inc.",Consumer Discretionary,2020-12-21,
TSN,Tyson Foods,Consumer Staples,,
TT,Trane Technologies,Industrials,,
TTD,Trade Desk (The),Communication Services,2025-07-18,
TTWO,Take-Two Interactive,Communication Services,,
TWTR,,,,2022-11-01
TXN,Texas Instruments,Information Technology,,
TXT,Textron,Industrials,,
TYL,Tyler Technologies,Information Technology,2020-06-22,
UA,,Consumer Discretionary,,2022-06-21
UAA,,Consumer Discretionary,,2022-06-21
UAL,United Airlines Holdings,Industrials,,
UBER,Uber,Industrials,2023-12-18,
UDR,"UDR, Inc.",Real Estate,,
UHS,Universal Health Services,Health Care,,
ULTA,Ulta Beauty,Consumer Discretionary,,
UNH,UnitedHealth Group,Health Care,,
UNM,,Financials,,2021-09-20
UNP,Union Pacific Corporation,Industrials,,
UPS,United Parcel Service,Industrials,,
URI,United Rentals,Industrials,,
USB,U.S. Bancorp,Financials,,
V,Visa Inc.,Financials,,
VAR,,,,2021-04-20
VFC,,,,2024-04-03
VICI,Vici Properties,Real Estate,2022-06-08,
VLO,Valero Energy,Energy,,
VLTO,Veralto,Industrials,2023-10-02,
VMC,Vulcan Materials Company,Materials,,
VNO,,Financials,,2023-01-05
VNT,,,2020-10-09,2021-03-22
VRSK,Verisk Analytics,Industrials,,
VRSN,Verisign,Information Technology,,
VRT,Vertiv,Industrials,2026-03-23,
VRTX,Vertex Pharmaceuticals,Health Care,,
VST,Vistra Corp.,Utilities,2024-05-08,
VTR,Ventas,Real Estate,,
VTRS,Viatris,Health Care,,
VZ,Verizon,Communication Services,,
WAB,Wabtec,Industrials,,
WAT,Waters Corporation,Health Care,,
WBA,,,,2025-08-28
WBD,Warner Bros. Discovery,Communication Services,2022-04-11,
WCG,,,,2020-01-28
WDAY,"Workday, Inc.",Information Technology,2024-12-23,
WDC,Western Digital,Information Technology,,
WEC,WEC Energy Group,Utilities,,
WELL,Welltower,Real Estate,,
WFC,Wells Fargo,Financials,,
WHR,,Consumer Staples,,2024-03-18
WM,Waste Management,Industrials,,
WMB,Williams Companies,Energy,,
WMT,Walmart,Consumer Staples,,
WRB,W. R. Berkley Corporation,Financials,,
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,2025-03-24,
WST,West Pharmaceutical Services,Health Care,2020-05-22,
WTW,Willis Towers Watson,Financials,,
WU,,,,2021-12-20
WY,Weyerhaeuser,Real Estate,,
WYNN,Wynn Resorts,Consumer Discretionary,,
XEC,,,,2020-03-02
XEL,Xcel Energy,Utilities,,
XLNX,,,,2022-02-15
XOM,ExxonMobil,Energy,,
XRAY,,,,2024-04-03
XRX,,Information Technology,,2021-03-22
XYL,Xylem Inc.,Industrials,,
XYZ,"Block, Inc.",Financials,2025-07-23,
YUM,Yum! Brands,Consumer Discretionary,,
ZBH,Zimmer Biomet,Health Care,,
ZBRA,Zebra Technologies,Information Technology,,
ZION,,Financials,,2024-03-18
ZTS,Zoetis,Health Care,,
